Game,LastHitter,BallX,BallY,BallZ,BallSpeed,AIPaddleZ,PlayerPaddleZ,Result
0,None,-0.35,1.34,0.09,26.00,-0.60,-8.71,AIScored
0,Player,-2.26,1.97,-0.26,26.00,-0.60,5.38,PlayerScored
0,Player,-2.21,1.97,0.13,26.00,-0.60,6.10,PlayerScored
0,Player,-1.72,1.85,-0.01,26.00,-0.60,6.64,PlayerScored
0,Player,-63.25,9.66,-8.05,26.01,-0.60,-7.99,PlayerScored
0,Player,-1.25,1.68,-0.16,26.00,-0.60,-7.36,PlayerScored
0,AI,0.48,3.03,-0.75,22.85,5.60,2.39,AIScored
0,Player,1.77,2.35,-0.30,24.86,3.70,5.37,PlayerScored
0,Player,-0.35,1.34,0.06,26.00,3.70,9.19,PlayerScored
0,Player,-2.11,1.97,0.64,26.00,1.60,9.63,PlayerScored
0,AI,2.19,1.97,0.64,26.00,8.30,9.73,AIScored
0,AI,-1.20,1.68,-0.34,26.00,-2.60,-9.29,AIScored
0,Player,1.77,2.36,-0.26,24.85,-2.60,-6.61,PlayerScored
0,AI,1.69,2.28,0.04,24.95,1.20,0.54,AIScored
0,AI,-2.06,1.96,-0.64,26.00,16.10,5.57,AIScored
0,Player,-2.09,1.96,0.54,26.00,-3.50,-5.81,PlayerScored
0,None,1.88,2.47,-0.26,24.84,-0.60,-3.57,AIScored
0,AI,1.89,2.48,-0.24,24.84,5.00,1.69,AIScored
0,AI,0.49,2.35,-0.53,23.08,0.80,-5.44,AIScored
0,AI,-0.02,1.21,-0.01,26.00,13.10,8.58,AIScored
0,Player,0.79,1.51,-0.07,26.00,13.10,-3.58,PlayerScored
0,Player,1.73,2.30,-0.39,24.90,13.10,-5.43,PlayerScored
0,Player,1.15,1.71,0.07,25.11,13.10,7.38,PlayerScored
0,Player,0.00,1.20,0.00,26.00,13.10,-10.00,PlayerScored
0,Player,2.47,1.99,0.41,26.00,13.10,-5.03,PlayerScored
0,Player,-1.14,1.66,0.40,26.00,13.10,-6.67,PlayerScored
0,Player,-1.56,1.81,0.31,26.00,13.10,-4.44,PlayerScored
0,AI,62.85,2.67,45.09,26.01,22.80,10.00,AIScored
0,AI,1.56,1.80,-0.04,26.00,-22.30,-8.70,AIScored
0,Player,1.85,2.42,-0.38,24.88,-13.40,-6.77,PlayerScored
0,Player,0.25,1.30,0.03,26.00,15.30,8.71,PlayerScored
1,AI,0.47,3.01,-0.65,22.78,-28.60,-8.66,AIScored
1,AI,-3.03,2.00,-0.75,26.00,-11.50,-5.80,AIScored
1,AI,0.25,1.30,-0.08,26.00,19.30,6.22,AIScored
